2026   Q2	$299.3 B	AAPL 	AXP 	KO 	GOOGL 	BAC 	CVX 	OXY 	CB 	MCO 	GOOG 	KHC 	DVA 	DAL 	SIRI 	VRSN 	KR 	ALLY 	LEN 	NYT 	LLYVK
2026   Q1	$263.1 B	AAPL 	AXP 	KO 	BAC 	CVX 	OXY 	GOOGL 	CB 	MCO 	KHC 	DVA 	KR 	SIRI 	DAL 	VRSN 	COF 	NYT 	ALLY 	GOOG 	LLYVK
2025   Q4	$274.2 B	AAPL 	AXP 	BAC 	KO 	CVX 	MCO 	OXY 	CB 	KHC 	GOOGL 	DVA 	KR 	V 	SIRI 	MA 	VRSN 	STZ 	COF 	UNH 	DPZ
2025   Q3	$267.3 B	AAPL 	AXP 	BAC 	KO 	CVX 	OXY 	MCO 	CB 	KHC 	GOOGL 	DVA 	KR 	SIRI 	V 	VRSN 	MA 	AMZN 	STZ 	UNH 	COF
2025   Q2	$257.5 B	AAPL 	AXP 	BAC 	KO 	CVX 	MCO 	OXY 	KHC 	CB 	DVA 	VRSN 	KR 	V 	SIRI 	MA 	STZ 	AMZN 	UNH 	COF 	AON
2025   Q1	$259.8 B	AAPL 	AXP 	KO 	BAC 	CVX 	OXY 	MCO 	KHC 	CB 	DVA 	VRSN 	KR 	V 	SIRI 	STZ 	MA 	AMZN 	AON 	COF 	DPZ
2024   Q4	$267.2 B	AAPL 	AXP 	BAC 	KO 	CVX 	OXY 	MCO 	KHC 	CB 	DVA 	KR 	VRSN 	SIRI 	V 	AMZN 	MA 	AON 	COF 	STZ 	ALLY
2024   Q3	$266.4 B	AAPL 	AXP 	BAC 	KO 	CVX 	OXY 	MCO 	KHC 	CB 	DVA 	C 	KR 	SIRI 	VRSN 	V 	MA 	AMZN 	AON 	COF 	NU
2024   Q2	$280 B	AAPL 	BAC 	AXP 	KO 	CVX 	OXY 	KHC 	MCO 	CB 	DVA 	C 	KR 	VRSN 	V 	AMZN 	MA 	LSXMK 	NU 	COF 	AON
2024   Q1	$331.7 B	AAPL 	BAC 	AXP 	KO 	CVX 	OXY 	KHC 	MCO 	CB 	DVA 	C 	KR 	VRSN 	V 	LSXMK 	MA 	COF 	AMZN 	AON 	NU
2023   Q4	$351.9 B	AAPL 	BAC 	AXP 	KO 	CVX 	OXY 	KHC 	MCO 	CB 	DVA 	C 	VRSN 	KR 	V 	MA 	COF 	AMZN 	CHTR 	LSXMK 	SNOW
