formation_year,buy_date,sell_date,selected_count,portfolio_return,benchmark_return,excess_return
2015,2015-04-01,2016-04-01,15,0.2005,0.0274,0.1732
2016,2016-04-01,2017-04-03,15,0.3327,0.1608,0.172
2017,2017-04-03,2018-04-02,15,0.3474,0.115,0.2324
2018,2018-04-02,2019-04-01,15,0.1808,0.1317,0.0492
2019,2019-04-01,2020-04-01,15,0.0234,-0.1212,0.1446
2020,2020-04-01,2021-04-01,15,0.8221,0.6536,0.1685
2021,2021-04-01,2022-04-01,15,0.1596,0.1455,0.0142
2022,2022-04-01,2023-04-03,15,-0.0415,-0.0773,0.0358
2023,2023-04-03,2024-04-01,15,0.4161,0.289,0.1271
2024,2024-04-01,2025-04-01,15,0.0541,0.088,-0.0339
2025,2025-04-01,2026-04-01,15,0.248,0.1814,0.0665
