formation_year,buy_date,sell_date,selected_count,portfolio_return,benchmark_return,excess_return
2015,2015-07-01,2016-07-01,10,0.1875,0.0336,0.1539
2016,2016-07-01,2017-07-03,10,0.283,0.1773,0.1057
2017,2017-07-03,2018-07-02,10,0.5061,0.1434,0.3627
2018,2018-07-02,2019-07-01,10,0.1832,0.1091,0.0742
2019,2019-07-01,2020-07-01,10,0.4967,0.0712,0.4255
2020,2020-07-01,2021-07-01,10,0.5017,0.4068,0.0948
2021,2021-07-01,2022-07-01,10,-0.1952,-0.1017,-0.0935
2022,2022-07-01,2023-07-03,10,0.5396,0.1831,0.3565
2023,2023-07-03,2024-07-01,10,0.4125,0.246,0.1665
2024,2024-07-01,2025-07-01,10,0.1116,0.1467,-0.0351
2025,2025-07-01,2026-07-01,10,0.1095,0.2208,-0.1112
