formation_year,universe_n,selected_n,universe_val_median,selected_val_median,val_median_spread,selected_val_median_pct_in_universe,universe_expensive_share,selected_expensive_share,expensive_share_spread,universe_cheap_share,selected_cheap_share,cheap_share_spread,universe_quality_median,selected_quality_median,quality_median_spread,universe_coverage_median,selected_coverage_median,coverage_median_spread
2015,83,10,65.5,58.85,-6.65,0.4819,0.4819,0.5,0.0181,0.3735,0.3,-0.0735,66.3,88.4,22.1,0.8889,0.7778,-0.1111
2016,92,10,47.2,62.85,15.65,0.6957,0.6739,0.4,-0.2739,0.2391,0.4,0.1609,64.9,87.3,22.4,0.8889,0.8889,0.0
2017,93,10,32.7,53.05,20.35,0.7312,0.7957,0.5,-0.2957,0.1935,0.4,0.2065,65.3,85.65,20.35,0.8889,0.8889,0.0
2018,99,10,60.6,77.5,16.9,0.7374,0.5051,0.2,-0.3051,0.3535,0.8,0.4465,63.8,93.65,29.85,1.0,0.8889,-0.1111
2019,104,10,40.0,52.75,12.75,0.7212,0.7981,0.7,-0.0981,0.125,0.3,0.175,70.9,93.25,22.35,1.0,0.9444,-0.0556
2020,109,10,31.6,51.4,19.8,0.7982,0.8257,0.6,-0.2257,0.1193,0.3,0.1807,68.3,90.75,22.45,1.0,1.0,0.0
2021,109,10,37.5,37.7,0.2,0.5138,0.8073,0.7,-0.1073,0.1009,0.3,0.1991,63.5,90.5,27.0,1.0,1.0,0.0
2022,110,10,51.15,70.45,19.3,0.7818,0.6545,0.2,-0.4545,0.2364,0.6,0.3636,70.3,94.5,24.2,1.0,1.0,0.0
2023,111,10,50.7,45.15,-5.55,0.4144,0.6216,0.8,0.1784,0.1622,0.1,-0.0622,71.8,93.15,21.35,1.0,1.0,0.0
2024,112,10,46.95,41.35,-5.6,0.375,0.6964,0.7,0.0036,0.1875,0.2,0.0125,69.0,88.65,19.65,1.0,1.0,0.0
2025,110,10,46.7,57.8,11.1,0.6909,0.6818,0.5,-0.1818,0.1636,0.1,-0.0636,66.5,90.4,23.9,1.0,1.0,0.0
