formation_year,buy_date,sell_date,selected_count,portfolio_return,benchmark_return,excess_return
2015,2015-04-01,2016-04-01,0,0.0,0.0274,-0.0274
2016,2016-04-01,2017-04-03,0,0.0,0.1608,-0.1608
2017,2017-04-03,2018-04-02,0,0.0,0.115,-0.115
2018,2018-04-02,2019-04-01,0,0.0,0.1317,-0.1317
2019,2019-04-01,2020-04-01,0,0.0,-0.1212,0.1212
2020,2020-04-01,2021-04-01,0,0.0,0.6536,-0.6536
2021,2021-04-01,2022-04-01,0,0.0,0.1455,-0.1455
2022,2022-04-01,2023-04-03,0,0.0,-0.0773,0.0773
2023,2023-04-03,2024-04-01,0,0.0,0.289,-0.289
2024,2024-04-01,2025-04-01,0,0.0,0.088,-0.088
2025,2025-04-01,2026-04-01,0,0.0,0.1814,-0.1814
