formation_year,universe_n,selected_n,universe_val_median,selected_val_median,val_median_spread,selected_val_median_pct_in_universe,universe_expensive_share,selected_expensive_share,expensive_share_spread,universe_cheap_share,selected_cheap_share,cheap_share_spread,universe_quality_median,selected_quality_median,quality_median_spread,universe_coverage_median,selected_coverage_median,coverage_median_spread
2015,82,10,63.9,76.95,13.05,0.7561,0.4878,0.0,-0.4878,0.3659,0.8,0.4341,66.1,83.55,17.45,0.8889,0.7778,-0.1111
2016,91,10,46.8,78.4,31.6,0.8791,0.6703,0.0,-0.6703,0.2418,0.8,0.5582,64.5,83.9,19.4,0.8889,0.8889,0.0
2017,92,10,32.9,79.7,46.8,0.8804,0.7935,0.0,-0.7935,0.1957,0.9,0.7043,64.85,80.1,15.25,0.8889,0.8889,0.0
2018,98,10,60.75,77.5,16.75,0.7347,0.5,0.0,-0.5,0.3571,0.9,0.5429,64.0,93.65,29.65,1.0,0.8889,-0.1111
2019,103,10,40.1,78.55,38.45,0.9223,0.7961,0.1,-0.6961,0.1262,0.7,0.5738,71.0,90.05,19.05,1.0,0.8889,-0.1111
2020,108,8,31.05,77.25,46.2,0.9444,0.8241,0.0,-0.8241,0.1204,0.875,0.7546,68.4,85.5,17.1,1.0,1.0,0.0
2021,108,4,37.45,77.35,39.9,0.963,0.8056,0.0,-0.8056,0.1019,1.0,0.8981,63.5,88.75,25.25,1.0,1.0,0.0
2022,109,10,51.5,74.4,22.9,0.844,0.6514,0.1,-0.5514,0.2385,0.7,0.4615,70.0,93.4,23.4,1.0,1.0,0.0
2023,110,10,50.4,70.2,19.8,0.8727,0.6273,0.2,-0.4273,0.1636,0.5,0.3364,72.05,87.5,15.45,1.0,1.0,0.0
2024,111,8,46.9,75.7,28.8,0.9099,0.6937,0.0,-0.6937,0.1892,0.875,0.6858,69.0,81.2,12.2,1.0,1.0,0.0
2025,109,10,46.6,70.8,24.2,0.844,0.6881,0.0,-0.6881,0.1651,0.5,0.3349,66.5,87.2,20.7,1.0,1.0,0.0
