Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common)
2021-06-30,59265,USD,2021,FY,2021-07-29,2023-07-27,7554000000.0,7617000000.0,168088000000.0,-52232000000.0,115856000000.0,-45940000000.0,-25224000000.0,-20716000000.0,,69916000000.0,1186000000.0,,71102000000.0,,71102000000.0,-9831000000.0,61271000000,,61271000000,61271000000
2022-06-30,59265,USD,2022,FY,2022-07-28,2024-07-30,7496000000.0,7540000000.0,198270000000.0,-62650000000.0,135620000000.0,-52237000000.0,-27725000000.0,-24512000000.0,,83383000000.0,333000000.0,,83716000000.0,,83716000000.0,-10978000000.0,72738000000,,72738000000,72738000000
2023-06-30,59265,USD,2023,FY,2023-07-27,2025-07-30,7446000000.0,7472000000.0,211915000000.0,-65863000000.0,146052000000.0,-57529000000.0,-30334000000.0,-27195000000.0,,88523000000.0,788000000.0,,89311000000.0,,89311000000.0,-16950000000.0,72361000000,,72361000000,72361000000
2024-06-30,59265,USD,2024,FY,2024-07-30,2026-07-29,7431000000.0,7469000000.0,245122000000.0,-74114000000.0,171008000000.0,-61575000000.0,-32065000000.0,-29510000000.0,,109433000000.0,-1646000000.0,,107787000000.0,,107787000000.0,-19651000000.0,88136000000,,88136000000,88136000000
2025-06-30,59265,USD,2025,FY,2025-07-30,2026-07-29,7433000000.0,7465000000.0,281724000000.0,-87831000000.0,193893000000.0,-65365000000.0,-32877000000.0,-32488000000.0,,128528000000.0,-4901000000.0,,123627000000.0,,123627000000.0,-21795000000.0,101832000000,,101832000000,101832000000
