Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common)
2020-12-31,89661,USD,2020,FY,2021-02-22,2023-02-16,2632800000.0,2670700000.0,82584000000.0,-28427000000.0,54157000000.0,-34243000000.0,-22084000000.0,-12159000000.0,,19914000000.0,-2989000000.0,-90000000.0,16925000000.0,-428000000.0,16497000000.0,-1783000000.0,14714000000,,14714000000,14714000000
2021-12-31,89661,USD,2021,FY,2022-02-17,2024-02-16,2632596969.0,2670200000.0,78740000000.0,-23402000000.0,55338000000.0,-34395000000.0,-20118000000.0,-14277000000.0,,20943000000.0,-656000000.0,-130000000.0,20287000000.0,-1109000000.0,19178000000.0,-1377000000.0,17801000000,3077000000.0,20878000000,20878000000
2022-12-31,89661,USD,2022,FY,2023-02-16,2025-02-13,2625200000.0,2663900000.0,79990000000.0,-24596000000.0,55394000000.0,-34381000000.0,-20246000000.0,-14135000000.0,,21013000000.0,-596000000.0,214000000.0,20417000000.0,-1058000000.0,19359000000.0,-2989000000.0,16370000000,1571000000.0,17941000000,17941000000
2023-12-31,89661,USD,2023,FY,2024-02-16,2025-02-13,2533500000.0,2560400000.0,85159000000.0,-26553000000.0,58606000000.0,-36597000000.0,-21512000000.0,-15085000000.0,,22009000000.0,-6145000000.0,489000000.0,15864000000.0,-802000000.0,15062000000.0,-1736000000.0,13326000000,21827000000.0,35153000000,35153000000
2024-12-31,89661,USD,2024,FY,2025-02-13,2025-02-13,2407300000.0,2429400000.0,88821000000.0,-27471000000.0,61350000000.0,-40101000000.0,-22869000000.0,-17232000000.0,,21249000000.0,-4117000000.0,577000000.0,17132000000.0,-445000000.0,16687000000.0,-2621000000.0,14066000000,,14066000000,14066000000
