formation_year,buy_date,sell_date,selected_count,portfolio_return,benchmark_return,excess_return
2015,2015-04-01,2016-04-01,10,0.0379,0.0274,0.0105
2016,2016-04-01,2017-04-03,9,0.2917,0.1608,0.1309
2017,2017-04-03,2018-04-02,5,0.1108,0.115,-0.0041
2018,2018-04-02,2019-04-01,10,0.0835,0.1317,-0.0482
2019,2019-04-01,2020-04-01,8,-0.1215,-0.1212,-0.0003
2020,2020-04-01,2021-04-01,5,0.5807,0.6536,-0.0729
2021,2021-04-01,2022-04-01,2,0.1079,0.1455,-0.0375
2022,2022-04-01,2023-04-03,10,-0.0504,-0.0773,0.0269
2023,2023-04-03,2024-04-01,4,0.3269,0.289,0.0379
2024,2024-04-01,2025-04-01,3,-0.0447,0.088,-0.1327
2025,2025-04-01,2026-04-01,1,-0.3701,0.1814,-0.5516
