formation_year,buy_date,sell_date,selected_count,portfolio_return,benchmark_return,excess_return
2015,2015-10-01,2016-10-03,10,0.27,0.1473,0.1227
2016,2016-10-03,2017-10-02,10,0.3235,0.193,0.1305
2017,2017-10-02,2018-10-01,10,0.4977,0.1773,0.3204
2018,2018-10-01,2019-10-01,10,0.2315,0.0252,0.2064
2019,2019-10-01,2020-10-01,10,0.6119,0.1716,0.4403
2020,2020-10-01,2021-10-01,10,0.4522,0.3065,0.1457
2021,2021-10-01,2022-10-03,10,-0.2737,-0.143,-0.1308
2022,2022-10-03,2023-10-02,10,0.6639,0.1839,0.48
2023,2023-10-02,2024-10-01,10,0.3412,0.3487,-0.0075
2024,2024-10-01,2025-10-01,10,0.2144,0.1899,0.0245
2025,2025-10-01,2026-08-14,10,0.0643,0.171,-0.1067
