Year,revenue,net_income,pe_ratio,cash,total_assets
2026,8670000000.0,1440000000.0,,,
2025,8000000000.0,1770000000.0,58.2,2960000000.0,48220000000.0
2024,6070000000.0,1390000000.0,32.9,4050000000.0,13070000000.0
2023,5720000000.0,1490000000.0,63.7,1580000000.0,10330000000.0
2022,5170000000.0,1060000000.0,49.6,1560000000.0,9410000000.0
2021,4500000000.0,950000000.0,74.3,1580000000.0,8750000000.0
2020,3820000000.0,710000000.0,59.1,1230000000.0,8029999999.999999
2019,3370000000.0,500000000.0,41.3,720000000.0,6400000000.0
2018,3170000000.0,400000000.0,28.9,720000000.0,6140000000.0
2017,2840000000.0,400000000.0,94.7,1040000000.0,5390000000.0
2016,2500000000.0,370000000.0,33.4,1110000000.0,5240000000.0
2015,2260000000.0,270000000.0,31.2,960000000.0,5040000000.0
2014,2120000000.0,270000000.0,26.0,980000000.0,4770000000.0
2013,1960000000.0,270000000.0,25.0,1020000000.0,4350000000.0
2012,1800000000.0,210000000.0,,700000000.0,4139999999.9999995
2011,1590000000.0,240000000.0,18.0,1000000000.0,3360000000.0
2010,1410000000.0,170000000.0,,930000000.0,3280000000.0
2009,1350000000.0,190000000.0,,1160000000.0,2930000000.0
2008,1360000000.0,230000000.0,,950000000.0,2740000000.0
2007,1220000000.0,150000000.0,,980000000.0,2610000000.0
2006,1130000000.0,52520000.0,,570000000.0,2150000000.0
2005,1010000000.0,7920000.0,,580000000.0,2130000000.0
2004,1040000000.0,130000000.0,,570000000.0,2089999999.9999998
2003,1190000000.0,290000000.0,,690000000.0,2300000000.0
2002,990000000.0,71950000.0,,410000000.0,1970000000.0
2001,690000000.0,20410000.0,,470000000.0,1120000000.0
2000,720000000.0,,,430000000.0,
1999,840000000.0,240000000.0,,700000000.0,
1998,720000000.0,200000000.0,,160000000.0,
1997,580000000.0,81700000.0,,120000000.0,
1996,380000000.0,76800000.0,,47200000.0,
