ticker,name,slug,page_metric,report_type,page_url,file_url,file_name,report_year,source_href,status
MSFT,Microsoft,microsoft,annual-reports-10k,10k,https://companiesmarketcap.com/microsoft/annual-reports-10k/,https://companiesmarketcap.com/annual-reports-10k/0001193125-26-323660_msft-20260630.pdf,0001193125-26-323660_msft-20260630.pdf,2026,/annual-reports-10k/0001193125-26-323660_msft-20260630.pdf?save,ok
MSFT,Microsoft,microsoft,annual-reports-10k,10k,https://companiesmarketcap.com/microsoft/annual-reports-10k/,https://companiesmarketcap.com/annual-reports-10k/0000950170-25-100235_msft-20250630.pdf,0000950170-25-100235_msft-20250630.pdf,2025,/annual-reports-10k/0000950170-25-100235_msft-20250630.pdf?save,ok
MSFT,Microsoft,microsoft,annual-reports-10k,10k,https://companiesmarketcap.com/microsoft/annual-reports-10k/,https://companiesmarketcap.com/annual-reports-10k/0000950170-24-087843_msft-20240630.pdf,0000950170-24-087843_msft-20240630.pdf,2024,/annual-reports-10k/0000950170-24-087843_msft-20240630.pdf?save,ok
MSFT,Microsoft,microsoft,annual-reports,annual-report,https://companiesmarketcap.com/microsoft/annual-reports/,https://companiesmarketcap.com/annual-reports/1.ar.en.2024.pdf,1.ar.en.2024.pdf,2024,/annual-reports/1.ar.en.2024.pdf,ok
MSFT,Microsoft,microsoft,annual-reports-10k,10k,https://companiesmarketcap.com/microsoft/annual-reports-10k/,https://companiesmarketcap.com/annual-reports-10k/0000950170-23-035122_msft-20230630.pdf,0000950170-23-035122_msft-20230630.pdf,2023,/annual-reports-10k/0000950170-23-035122_msft-20230630.pdf?save,ok
MSFT,Microsoft,microsoft,annual-reports,annual-report,https://companiesmarketcap.com/microsoft/annual-reports/,https://companiesmarketcap.com/annual-reports/1.ar.en.2023.pdf,1.ar.en.2023.pdf,2023,/annual-reports/1.ar.en.2023.pdf,ok
MSFT,Microsoft,microsoft,annual-reports-10k,10k,https://companiesmarketcap.com/microsoft/annual-reports-10k/,https://companiesmarketcap.com/annual-reports-10k/0001564590-22-026876_msft-10k_20220630.pdf,0001564590-22-026876_msft-10k_20220630.pdf,2022,/annual-reports-10k/0001564590-22-026876_msft-10k_20220630.pdf?save,ok
MSFT,Microsoft,microsoft,annual-reports,annual-report,https://companiesmarketcap.com/microsoft/annual-reports/,https://companiesmarketcap.com/annual-reports/1.ar.en.2022.pdf,1.ar.en.2022.pdf,2022,/annual-reports/1.ar.en.2022.pdf,ok
MSFT,Microsoft,microsoft,annual-reports-10k,10k,https://companiesmarketcap.com/microsoft/annual-reports-10k/,https://companiesmarketcap.com/annual-reports-10k/0001564590-21-039151_msft-10k_20210630.pdf,0001564590-21-039151_msft-10k_20210630.pdf,2021,/annual-reports-10k/0001564590-21-039151_msft-10k_20210630.pdf?save,ok
MSFT,Microsoft,microsoft,annual-reports,annual-report,https://companiesmarketcap.com/microsoft/annual-reports/,https://companiesmarketcap.com/annual-reports/1.ar.en.2021.pdf,1.ar.en.2021.pdf,2021,/annual-reports/1.ar.en.2021.pdf,ok
MSFT,Microsoft,microsoft,annual-reports-10k,10k,https://companiesmarketcap.com/microsoft/annual-reports-10k/,https://companiesmarketcap.com/annual-reports-10k/0001564590-20-034944_msft-10k_20200630.pdf,0001564590-20-034944_msft-10k_20200630.pdf,2020,/annual-reports-10k/0001564590-20-034944_msft-10k_20200630.pdf?save,ok
MSFT,Microsoft,microsoft,annual-reports,annual-report,https://companiesmarketcap.com/microsoft/annual-reports/,https://companiesmarketcap.com/annual-reports/1.ar.en.2020.pdf,1.ar.en.2020.pdf,2020,/annual-reports/1.ar.en.2020.pdf,ok
MSFT,Microsoft,microsoft,annual-reports-10k,10k,https://companiesmarketcap.com/microsoft/annual-reports-10k/,https://companiesmarketcap.com/annual-reports-10k/0001564590-19-027952_msft-10k_20190630.pdf,0001564590-19-027952_msft-10k_20190630.pdf,2019,/annual-reports-10k/0001564590-19-027952_msft-10k_20190630.pdf?save,ok
MSFT,Microsoft,microsoft,annual-reports,annual-report,https://companiesmarketcap.com/microsoft/annual-reports/,https://companiesmarketcap.com/annual-reports/1.ar.en.2019.pdf,1.ar.en.2019.pdf,2019,/annual-reports/1.ar.en.2019.pdf,ok
MSFT,Microsoft,microsoft,annual-reports-10k,10k,https://companiesmarketcap.com/microsoft/annual-reports-10k/,https://companiesmarketcap.com/annual-reports-10k/0001564590-18-019062_msft-10k_20180630.pdf,0001564590-18-019062_msft-10k_20180630.pdf,2018,/annual-reports-10k/0001564590-18-019062_msft-10k_20180630.pdf?save,ok
