Year,revenue,net_income,pe_ratio,cash,total_assets
2026,7520000000.0,2640000000.0,,,
2025,6790000000.0,2300000000.0,32.5,3580000000.0,10380000000.0
2024,5950000000.0,2069999999.9999998,41.3,4059999999.9999995,9760000000.0
2023,5300000000.0,1350000000.0,39.5,2440000000.0,7250000000.0
2022,4410000000.0,970000000.0,45.2,2210000000.0,6220000000.0
2021,3340000000.0,640000000.0,96.6,2550000000.0,5910000000.0
2020,2590000000.0,530000000.0,50.0,1830000000.0,4040000000.0
2019,2150000000.0,340000000.0,55.9,2060000000.0,3870000000.0
2018,1800000000.0,230000000.0,35.9,1640000000.0,3070000000.0
2017,1490000000.0,110000000.0,257.0,1250000000.0,2250000000.0
2016,1270000000.0,46940000.0,,1080000000.0,2130000000.0
2015,1000000000.0,22470000.0,570.0,890000000.0,1790000000.0
2014,770000000.0,59320000.0,204.0,720000000.0,1420000000.0
2013,610000000.0,72090000.0,68.3,490000000.0,1160000000.0
2012,530000000.0,100000000.0,50.0,410000000.0,970000000.0
2011,430000000.0,88900000.0,,390000000.0,730000000.0
2010,320000000.0,55340000.0,,310000000.0,540000000.0
2009,250000000.0,25330000.0,,260000000.0,380000000.0
2008,,,,120000000.0,190000000.0
2007,,,,90160000.0,140000000.0
