year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,price_to_sales,price_to_book
2026,6300000000.0,1.89,1390000000.0,,,,,,,,570000000.0,7.31,
2025,6060000000.0,1.84,1290000000.0,20.98,4219999999.9999995,700000000.0,13690000000.0,10330000000.0,46.3,3350000000.0,580000000.0,8.26,4.85
2024,5430000000.0,6.98,1560000000.0,28.46,3970000000.0,700000000.0,13050000000.0,10060000000.0,10.6,2990000000.0,580000000.0,8.2,4.43
2023,5530000000.0,2.31,1490000000.0,27.39,1630000000.0,680000000.0,9360000000.0,6710000000.0,33.0,2640000000.0,600000000.0,8.36,6.88
2022,5380000000.0,2.45,1780000000.0,34.04,1210000000.0,690000000.0,8289999999.999999,5800000000.0,30.5,2480000000.0,610000000.0,8.57,7.94
2021,5230000000.0,2.42,1720000000.0,32.53,1460000000.0,690000000.0,8500000000.0,5830000000.0,53.5,2660000000.0,620000000.0,15.5,13.9
2020,4380000000.0,1.32,930000000.0,20.9,1400000000.0,690000000.0,7230000000.0,4570000000.0,69.3,2660000000.0,620000000.0,13.0,12.4
2019,4340000000.0,1.67,1180000000.0,26.83,1510000000.0,670000000.0,6480000000.0,4139999999.9999995,46.5,2330000000.0,,11.2,11.8
2018,3720000000.0,1.15,790000000.0,20.45,950000000.0,590000000.0,5320000000.0,3140000000.0,44.5,2180000000.0,,8.55,10.1
2017,3430000000.0,0.98,1050000000.0,30.13,1330000000.0,1030000000.0,5660000000.0,2950000000.0,38.2,2710000000.0,,6.94,8.07
2016,2960000000.0,0.89,750000000.0,24.9,1270000000.0,820000000.0,4510000000.0,2610000000.0,35.1,1890000000.0,,6.76,7.65
2015,2490000000.0,0.76,630000000.0,24.96,1220000000.0,590000000.0,4050000000.0,2500000000.0,34.4,1550000000.0,,6.82,6.8
2014,2320000000.0,1.28,1160000000.0,49.25,1430000000.0,590000000.0,3520000000.0,2190000000.0,16.6,1330000000.0,,5.91,6.27
2013,2040000000.0,0.58,450000000.0,24.99,930000000.0,590000000.0,2700000000.0,1540000000.0,18.8,1160000000.0,,3.51,4.65
2012,1890000000.0,0.43,390000000.0,20.44,520000000.0,180000000.0,2220000000.0,1470000000.0,35.4,740000000.0,,5.43,6.97
2011,1670000000.0,0.35,280000000.0,16.9,450000000.0,150000000.0,1980000000.0,1330000000.0,34.2,640000000.0,,4.8,6.03
2010,1440000000.0,,270000000.0,18.53,390000000.0,41800000.0,1760000000.0,1300000000.0,,450000000.0,,6.42,7.11
2009,1320000000.0,,300000000.0,23.04,330000000.0,90300000.0,1610000000.0,1150000000.0,,450000000.0,,3.73,4.26
2008,1230000000.0,,160000000.0,13.28,220000000.0,170000000.0,1400000000.0,870000000.0,,520000000.0,,2.47,3.48
2007,1090000000.0,,170000000.0,13.73,190000000.0,210000000.0,1340000000.0,830000000.0,,510000000.0,,2.39,3.12
2006,1030000000.0,,190000000.0,16.62,180000000.0,230000000.0,1240000000.0,740000000.0,,490000000.0,,2.62,3.62
2005,990000000.0,,170000000.0,11.69,170000000.0,310000000.0,1220000000.0,690000000.0,,530000000.0,,2.48,3.59
2004,930000000.0,,130000000.0,3.23,48900000.0,260000000.0,1110000000.0,620000000.0,,480000000.0,,2.63,3.9
2003,860000000.0,,130000000.0,10.78,61100000.0,250000000.0,1100000000.0,630000000.0,,460000000.0,,2.08,2.82
2002,700000000.0,,52100000.0,7.95,34200000.0,240000000.0,1000000000.0,530000000.0,,460000000.0,,2.18,2.84
2001,690000000.0,,24000000.0,-1.3,47700000.0,310000000.0,980000000.0,450000000.0,,520000000.0,,2.37,
2000,830000000.0,,100000000.0,,28000000.0,420000000.0,,,,,,,
1999,,,,,,,,,,,,,
