year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,price_to_sales,price_to_book
2026,2250000000.0,31.84,980000000.0,,,,,,,,23620000.0,10.6,
2025,2060000000.0,27.32,840000000.0,40.31,130000000.0,3070000000.0,1860000000.0,,61.9,3610000000.0,23720000.0,19.1,-21.8
2024,1770000000.0,,660000000.0,37.38,150000000.0,2230000000.0,1710000000.0,,,2680000000.0,24370000.0,27.9,-43.6
2023,1550000000.0,18.18,560000000.0,36.58,130000000.0,1900000000.0,1570000000.0,,64.0,2260000000.0,24760000.0,18.6,-39.6
2022,1390000000.0,15.14,480000000.0,34.22,130000000.0,1910000000.0,1440000000.0,,39.5,2240000000.0,25040000.0,10.7,-18.6
2021,1320000000.0,13.82,490000000.0,35.94,190000000.0,1330000000.0,1560000000.0,,31.4,1670000000.0,27160000.0,8.67,-21.4
2020,1300000000.0,9.22,300000000.0,19.85,150000000.0,900000000.0,1600000000.0,330000000.0,55.4,1270000000.0,29120000.0,11.4,45.9
2019,1190000000.0,7.14,220000000.0,18.63,100000000.0,820000000.0,1430000000.0,280000000.0,52.5,1140000000.0,29020000.0,9.14,45.4
2018,1050000000.0,5.2,180000000.0,15.69,90020000.0,760000000.0,1330000000.0,280000000.0,36.0,1040000000.0,28960000.0,5.16,23.8
2017,940000000.0,4.03,150000000.0,16.72,100000000.0,600000000.0,1250000000.0,420000000.0,38.0,820000000.0,30070000.0,4.87,11.9
2016,900000000.0,4.12,140000000.0,16.4,75920000.0,570000000.0,1220000000.0,440000000.0,28.9,770000000.0,30980000.0,4.13,8.81
2015,840000000.0,2.93,110000000.0,13.02,86120000.0,600000000.0,1230000000.0,430000000.0,32.1,790000000.0,31180000.0,3.48,7.0
2014,790000000.0,2.79,120000000.0,16.87,100000000.0,540000000.0,1190000000.0,450000000.0,25.9,730000000.0,31930000.0,2.89,5.69
2013,730000000.0,2.37,120000000.0,17.75,83170000.0,470000000.0,1160000000.0,530000000.0,26.4,630000000.0,34690000.0,2.97,4.07
2012,690000000.0,2.47,120000000.0,20.14,93610000.0,500000000.0,1150000000.0,470000000.0,16.9,680000000.0,35040000.0,2.14,2.93
2011,630000000.0,,110000000.0,15.73,240000000.0,510000000.0,1120000000.0,460000000.0,,660000000.0,36030000.0,2.03,2.78
2010,610000000.0,,87340000.0,15.24,210000000.0,520000000.0,1120000000.0,470000000.0,,640000000.0,39920000.0,1.53,1.91
2009,610000000.0,,100000000.0,15.47,310000000.0,570000000.0,1300000000.0,600000000.0,,700000000.0,47600000.0,1.6,1.69
2008,710000000.0,,97000000.0,15.17,180000000.0,570000000.0,1270000000.0,560000000.0,,710000000.0,48470000.0,1.14,1.49
2007,780000000.0,,140000000.0,18.2,220000000.0,560000000.0,1270000000.0,560000000.0,,700000000.0,50040000.0,2.03,3.04
2006,830000000.0,,150000000.0,19.29,220000000.0,400000000.0,1320000000.0,770000000.0,,550000000.0,58050000.0,2.79,3.32
2005,800000000.0,,190000000.0,24.3,220000000.0,400000000.0,1350000000.0,800000000.0,,540000000.0,64209999.99999999,3.56,3.3
2004,730000000.0,,160000000.0,23.9,290000000.0,400000000.0,1440000000.0,910000000.0,,520000000.0,68570000.0,3.36,2.84
2003,650000000.0,,180000000.0,27.35,500000000.0,540000000.0,1490000000.0,840000000.0,,640000000.0,,3.54,2.58
2002,450000000.0,,62880000.0,13.53,280000000.0,130000000.0,1210000000.0,970000000.0,,240000000.0,,4.66,2.26
2001,330000000.0,,84220000.0,23.35,38400000.0,,310000000.0,270000000.0,,45240000.0,,4.32,
2000,300000000.0,,53680000.0,,58610000.0,360000.0,,,,,,,
1999,270000000.0,,46900000.0,,25900000.0,800000.0,,,,,,,
1998,260000000.0,,47600000.0,,14200000.0,1200000.0,,,,,,,
1997,210000000.0,,35200000.0,,13200000.0,1600000.0,,,,,,,
1996,150000000.0,,28700000.0,,11500000.0,2000000.0,,,,,,,
