Year,revenue,net_income,pe_ratio,cash,total_assets
2026,742770000000.0,117990000000.0,,,
2025,716920000000.0,99580000000.0,31.7,123020000000.0,818040000000.0
2024,637950000000.0,71020000000.0,38.8,101200000000.0,624890000000.0
2023,574780000000.0,40730000000.0,51.3,86780000000.0,527850000000.0
2022,513980000000.0,,-313.0,70020000000.0,462670000000.0
2021,469820000000.0,39960000000.0,50.6,96040000000.0,420540000000.0
2020,386060000000.0,25820000000.0,76.5,84390000000.0,321190000000.0
2019,280520000000.0,15570000000.0,78.8,55020000000.0,225240000000.0
2018,232880000000.0,12670000000.0,72.7,41250000000.0,162640000000.0
2017,177860000000.0,4650000000.0,185.0,30980000000.0,131310000000.0
2016,135979999999.99998,4370000000.0,150.0,25980000000.0,83400000000.0
2015,107000000000.0,2020000000.0,528.0,19800000000.0,64739999999.99999
2014,88980000000.0,98000000.0,-586.0,17410000000.0,54500000000.0
2013,74450000000.0,640000000.0,676.0,12440000000.0,40150000000.0
2012,61090000000.0,630000000.0,,11440000000.0,32549999999.999996
2011,48070000000.0,990000000.0,125.0,9570000000.0,25270000000.0
2010,34200000000.000004,1530000000.0,70.0,8760000000.0,18790000000.0
2009,24500000000.0,1190000000.0,65.0,6360000000.0,13810000000.0
2008,19160000000.0,970000000.0,,3720000000.0,8310000000.000001
2007,14830000000.0,730000000.0,,3110000000.0,6480000000.0
2006,10710000000.0,450000000.0,,2009999999.9999998,4360000000.0
2005,8490000000.0,520000000.0,,2000000000.0,3690000000.0
2004,6920000000.0,460000000.0,,1770000000.0,3240000000.0
2003,5260000000.0,160000000.0,,1390000000.0,2160000000.0
2002,3930000000.0,,,1300000000.0,1990000000.0
2001,3120000000.0,,,990000000.0,1630000000.0
2000,2760000000.0,,,1100000000.0,
1999,1630000000.0,,,700000000.0,
1998,600000000.0,,,370000000.0,
1997,140000000.0,,,120000000.0,
1996,15700000.0,,,6200000.0,
