year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,price_to_sales,price_to_book
2026,9700000000.0,2.96,4560000000.0,,,,,,,,1250000000.0,15.7,
2025,9000000000.0,2.8,4240000000.0,47.19,10740000000.0,,19440000000.0,12370000000.0,46.8,7070000000.0,1250000000.0,18.7,13.6
2024,7000000000.0,2.28,3260000000.0,46.62,8300000000.000001,,14040000000.0,9990000000.0,48.6,4040000000.0,1260000000.0,20.3,14.2
2023,5860000000.0,1.68,2420000000.0,41.33,5000000000.0,,9950000000.0,7210000000.0,34.9,2730000000.0,,12.5,10.1
2022,4380000000.0,1.1,1580000000.0,36.1,3020000000.0,43960000.0,6770000000.0,4880000000.0,27.5,1880000000.0,,8.51,7.63
2021,2940000000.0,0.69,930000000.0,31.58,3400000000.0,56520000.0,5730000000.0,3970000000.0,52.4,1750000000.0,,15.0,11.1
2020,2310000000.0,0.52,730000000.0,31.88,2870000000.0,72390000.0,4730000000.0,3320000000.0,34.8,1410000000.0,,9.49,6.62
2019,2410000000.0,0.7,860000000.0,35.77,2720000000.0,83020000.0,4179999999.9999995,2890000000.0,18.1,1290000000.0,,6.45,5.37
2018,2150000000.0,0.53,280000000.0,13.42,1950000000.0,35430000.0,3080000000.0,2140000000.0000002,24.8,930000000.0,,7.41,7.44
2017,1640000000.0,0.36,470000000.0,28.84,1530000000.0,37670000.0,2460000000.0,1660000000.0,40.3,790000000.0,,10.5,10.4
2016,1120000000.0,0.17,240000000.0,21.45,860000000.0,39590000.0,1720000000.0,1100000000.0,36.2,620000000.0,,6.02,6.13
2015,830000000.0,0.11,140000000.0,17.43,680000000.0,41210000.0,1150000000.0,780000000.0,43.2,370000000.0,,6.33,6.73
2014,580000000.0,0.08063,120000000.0,20.8,440000000.0,43630000.0,810000000.0,550000000.0,47.1,250000000.0,,6.82,7.17
2013,360000000.0,,58270000.0,16.13,110000000.0,140000000.0,360000000.0,77730000.0,,280000000.0,,,
2012,,,,17.05,88650000.0,120000000.0,220000000.0,18910000.0,,200000000.0,,,
2011,,,,26.9,,,,,,,,,
