year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,price_to_sales,price_to_book
2026,12130000000.0,1.09,1930000000.0,,,,,,,,1290000000.0,3.36,
2025,11920000000.0,1.15,2009999999.9999998,16.85,1040000000.0,5070000000.0,8990000000.0,2830000000.0,32.2,6160000000.0,1310000000.0,4.22,17.8
2024,11310000000.0,1.11,1980000000.0,17.77,1420000000.0,4540000000.0,9200000000.0,3650000000.0,54.2,5540000000.0,1360000000.0,7.32,22.7
2023,9870000000.0,0.89,1630000000.0,16.42,1290000000.0,4050000000.0,8039999999.999999,3060000000.0,51.3,4980000000.0,,6.36,20.5
2022,8630000000.0,,1210000000.0,13.68,890000000.0,3730000000.0,6920000000.0,2360000000.0,,4550000000.0,,4.45,16.2
2021,7540000000.0,,870000000.0,10.77,1070000000.0000001,3520000000.0,6650000000.0,2290000000.0,,4350000000.0,,6.52,21.4
2020,5980000000.0,0.25,320000000.0,4.91,950000000.0,3150000000.0,5980000000.0,2020000000.0,109.0,3960000000.0,,6.48,19.2
2019,5580000000.0,0.25,470000000.0,8.2,880000000.0,2850000000.0,5100000000.0,1680000000.0,66.3,3420000000.0,,4.16,13.8
2018,4860000000.0,0.13,330000000.0,5.52,670000000.0,,2260000000.0,1440000000.0,68.1,820000000.0,,2.46,8.3
2017,4470000000.0,,290000000.0,6.16,500000000.0,,2040000000.0,1360000000.0,,680000000.0,,1.82,5.98
2016,3900000000.0,0.0164,75600000.0,0.99,410000000.0,,2020000000.0,1400000000.0,460.0,620000000.0,,2.8,7.79
2015,4500000000.0,0.31,790000000.0,17.1,660000000.0,,2720000000.0,2120000000.0,31.4,590000000.0,,3.26,6.9
2014,4099999999.9999995,0.29,730000000.0,17.39,750000000.0,,2520000000.0,2009999999.9999998,47.7,510000000.0,,5.17,10.6
2013,3210000000.0,0.21,550000000.0,16.63,570000000.0,,2000000000.0,1530000000.0,50.4,470000000.0,,5.14,10.7
2012,2730000000.0,,480000000.0,16.76,470000000.0,3520000.0,1660000000.0,1240000000.0,,420000000.0,,3.39,7.42
2011,2260000000.0,0.14,350000000.0,15.41,450000000.0,3660000.0,1420000000.0,1040000000.0,49.0,380000000.0,,4.66,10.1
2010,1830000000.0,,280000000.0,15.74,340000000.0,120000.0,1120000000.0,810000000.0,,310000000.0,,3.6,8.15
2009,1510000000.0,,200000000.0,13.45,260000000.0,3870000.0,960000000.0,700000000.0,,250000000.0,,1.83,3.95
2008,1330000000.0,,110000000.0,9.55,180000000.0,3960000.0,820000000.0,620000000.0,,200000000.0,,1.5,3.2
2007,1080000000.0,,110000000.0,10.5,170000000.0,4030000.0000000005,720000000.0,560000000.0,,160000000.0,,4.44,8.58
2006,820000000.0,,61950000.0,8.29,150000000.0,70000.0,600000000.0,470000000.0,,130000000.0,,2.25,3.91
2005,,,,4.82,60000.0,50000.0,390000000.0,300000000.0,,83140000.0,,,
2004,,,,1.3,,4430000.0,320000000.0,260000000.0,,67080000.0,,,
2003,,,,-2.44,,,240000000.0,190000000.0,,57500000.0,,,
2002,,,,-8.45,,,190000000.0,160000000.0,,32909999.999999996,,,
2001,,,,-18.24,,,140000000.0,120000000.0,,22700000.0,,,
