year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,price_to_sales,price_to_book
2026,4440000000.0,13.7,1400000000.0,,,,,,,,79640000.0,10.0,
2025,4300000000.0,13.18,1360000000.0,30.77,180000000.0,970000000.0,3350000000.0,1600000000.0,51.3,1740000000.0,79890000.0,12.5,33.4
2024,3890000000.0,10.77,1140000000.0,28.48,280000000.0,980000000.0,3290000000.0,1590000000.0,38.4,1690000000.0,81840000.0,8.72,21.3
2023,3660000000.0,10.17,1100000000.0,28.99,450000000.0,1060000000.0,3250000000.0,1480000000.0,54.6,1770000000.0,83080000.0,12.6,31.1
2022,3360000000.0,8.12,890000000.0,25.54,110000000.0,1470000000.0,2740000000.0,600000000.0,50.2,2130000000.0,82930000.0,10.0,55.5
2021,3210000000.0,8.74,930000000.0,28.07,140000000.0,1030000000.0,2430000000.0,680000000.0,75.3,1740000000.0,84820000.0,17.4,80.9
2020,2700000000.0,6.81,690000000.0,24.46,380000000.0,1000000000.0,2290000000.0,630000000.0,73.4,1660000000.0,85490000.0,15.8,67.4
2019,2400000000.0,4.96,550000000.0,21.7,90320000.0,1070000000.0000001,1830000000.0,170000000.0,52.6,1650000000.0,85840000.0,9.27,126.0
2018,2210000000.0,4.33,490000000.0,20.68,120000000.0,1000000000.0,1530000000.0,,43.0,1540000000.0,86370000.0,7.24,
2017,1960000000.0,3.0,410000000.0,19.35,470000000.0,1260000000.0,1710000000.0,,52.1,1760000000.0,87420000.0,6.93,-253.0
2016,1770000000.0,2.48,350000000.0,18.13,390000000.0,1200000000.0,1530000000.0,,47.3,1630000000.0,89290000.0,5.92,-97.2
2015,1600000000.0,2.08,300000000.0,17.05,340000000.0,1170000000.0,1470000000.0,,35.1,1550000000.0,90840000.0,4.1,-78.1
2014,1480000000.0,1.8,260000000.0,16.59,320000000.0,890000000.0,1380000000.0,110000000.0,41.2,1260000000.0,,4.73,59.7
2013,1370000000.0,1.77,260000000.0,19.12,270000000.0,420000000.0,1230000000.0,510000000.0,30.1,710000000.0,,3.98,10.6
2012,1290000000.0,1.62,260000000.0,20.15,220000000.0,210000000.0,1100000000.0,630000000.0,28.6,460000000.0,,3.91,7.95
2011,1210000000.0,,230000000.0,19.24,180000000.0,240000000.0,1030000000.0,530000000.0,,490000000.0,,3.55,8.01
2010,1100000000.0,,200000000.0,18.32,150000000.0,130000000.0,890000000.0,570000000.0,,320000000.0,,3.6,6.91
2009,1030000000.0,,170000000.0,16.92,100000000.0,120000000.0,800000000.0,510000000.0,,290000000.0,,3.02,6.05
2008,1020000000.0,,170000000.0,16.62,78860000.0,150000000.0,760000000.0,430000000.0,,320000000.0,,2.1,4.9
2007,920000000.0,,130000000.0,14.62,60360000.0,78680000.0,700000000.0,430000000.0,,260000000.0,,3.88,8.16
2006,730000000.0,,120000000.0,17.69,96660000.0,7120000.0,550000000.0,400000000.0,,140000000.0,,3.34,6.03
2005,630000000.0,,110000000.0,18.57,130000000.0,550000.0,490000000.0,360000000.0,,120000000.0,,3.59,6.2
2004,540000000.0,,100000000.0,20.23,130000000.0,1810000.0,510000000.0,390000000.0,,110000000.0,,3.29,4.54
2003,470000000.0,,80380000.0,17.49,220000000.0,1280000.0,520000000.0,410000000.0,,100000000.0,,3.37,3.88
2002,410000000.0,,66379999.99999999,16.66,140000000.0,1010000.0,410000000.0,340000000.0,,76450000.0,,2.73,3.31
2001,380000000.0,,61700000.0,15.23,79550000.0,8380000.000000001,370000000.0,300000000.0,,71370000.0,,2.49,
2000,360000000.0,,53250000.0,,75200000.0,8470000.0,,,,,,,
1999,350000000.0,,46700000.0,,100000000.0,3540000.0,,,,,,,
1998,310000000.0,,29200000.0,,100000000.0,9400000.0,,,,,,,
1997,260000000.0,,,,100000000.0,4099999.9999999995,,,,,,,
1996,260000000.0,,47000000.0,,120000000.0,3000000.0,,,,,,,
