Year,revenue,net_income,pe_ratio,cash,total_assets
2026,16629999999.999998,2350000000.0,,,
2025,16309999999.999998,2320000000.0,28.4,2140000000.0000002,29940000000.0
2024,15400000000.0,2330000000.0,25.9,1840000000.0,26890000000.0
2023,14980000000.0,2130000000.0,31.2,1490000000.0,26680000000.0
2022,14410000000.0,1770000000.0,35.3,1300000000.0,25330000000.0
2021,13870000000.0,1500000000.0,55.9,1470000000.0,24680000000.0
2020,11350000000.0,780000000.0,,1900000000.0,24560000000.0
2019,11080000000.0,790000000.0,158.0,890000000.0,23250000000.0
2018,10410000000.0,740000000.0,91.5,930000000.0,22540000000.0
2017,9750000000.0,690000000.0,15.8,1000000000.0,22850000000.0
2016,6870000000.0,620000000.0,44.5,1230000000.0,21200000000.0
2015,5730000000.0,640000000.0,21.8,970000000.0,3920000000.0
2014,5450000000.0,600000000.0,21.2,860000000.0,3290000000.0
2013,5090000000.0,440000000.0,,770000000.0,3060000000.0
2012,4860000000.0,400000000.0,,560000000.0,2490000000.0
2011,,,,510000000.0,2320000000.0
