year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,price_to_sales,price_to_book
2026,10580000000.0,8.84,3220000000.0,,,,,,,,350000000.0,15.2,
2025,10060000000.0,8.01,2940000000.0,32.9,5930000000.0,,20450000000.0,17940000000.0,70.7,2510000000.0,350000000.0,20.0,11.2
2024,8350000000.0,6.53,2340000000.0,32.01,4010000000.0,,18740000000.0,16520000000.0,79.9,2210000000.0,350000000.0,22.8,11.5
2023,7120000000.0,5.11,1760000000.0,27.5,5220000000.0,,15440000000.0,13390000000.0,66.0,2040000000.0,350000000.0,16.7,8.87
2022,6220000000.0,3.72,1570000000.0,25.82,4110000000.0000005,,12970000000.0,11110000000.0,71.3,1860000000.0,350000000.0,15.1,8.44
2021,5710000000.0,4.79,1820000000.0,33.1,4230000000.0000005,87000000.0,13550000000.0,11950000000.0,75.1,1600000000.0,350000000.0,22.5,10.7
2020,4350000000.0,3.02,1040000000.0,27.69,5170000000.0,,11160000000.0,9750000000.0,90.3,1400000000.0,,22.1,9.85
2019,4470000000.0,3.99,1370000000.0,33.54,3220000000.0,,9730000000.0,8279999999.999999,49.4,1440000000.0,,15.3,8.28
2018,3720000000.0,,1190000000.0,34.36,3060000000.0,,7840000000.0,6680000000.0,,1150000000.0,,14.7,8.2
2017,3130000000.0,1.97,1060000000.0,35.2,1960000000.0,,5770000000.0,4780000000.0,61.7,990000000.0,,13.0,8.55
2016,2700000000.0,2.13,940000000.0,36.4,2550000000.0,,6480000000.0,5770000000.0,33.1,700000000.0,,9.09,4.25
2015,2380000000.0,1.76,740000000.0,31.81,1550000000.0,,4900000000.0,4310000000.0,34.4,580000000.0,,8.57,4.73
2014,2130000000.0,,540000000.0,25.75,1230000000.0,,3950000000.0,3370000000.0,,580000000.0,,9.08,5.73
2013,2260000000.0,1.89,850000000.0,38.45,1400000000.0,,3950000000.0,3500000000.0,22.6,440000000.0,,6.48,4.19
2012,2170000000.0,1.83,870000000.0,41.03,1320000000.0,,4050000000.0,3580000000.0,29.8,470000000.0,,9.05,5.51
2011,1750000000.0,,690000000.0,40.39,1020000000.0,,3060000000.0,2640000000.0,,410000000.0,,10.3,6.82
2010,1410000000.0,,550000000.0,40.5,910000000.0,,2390000000.0,2029999999.9999998,,350000000.0,,7.1,4.92
2009,1050000000.0,,370000000.0,37.64,550000000.0,,1800000000.0,1530000000.0,,270000000.0,,11.1,7.6
2008,870000000.0,,310000000.0,38.31,450000000.0,,1470000000.0,1260000000.0,,200000000.0,,5.69,3.93
2007,600000000.0,,200000000.0,39.48,420000000.0,,1030000000.0,880000000.0,,150000000.0,,20.7,14.0
2006,370000000.0,,100000000.0,32.24,230000000.0,,670000000.0,580000000.0,,82080000.0,,9.54,6.03
2005,220000000.0,,68770000.0,32.47,120000000.0,,500000000.0,440000000.0,,58990000.0,,18.7,9.59
2004,130000000.0,,21180000.0,17.44,130000000.0,600000.0,350000000.0,310000000.0,,39290000.0,,9.87,4.35
2003,91670000.0,,,-10.5,110000000.0,1720000.0,310000000.0,270000000.0,,36030000.0,,6.16,2.02
2002,72020000.0,,,-25.58,50830000.0,3340000.0,91580000.0,63680000.0,,27900000.0,,3.14,3.55
2001,51670000.0,,,-39.45,66660000.0,2400000.0,100000000.0,78290000.0,,22060000.0,,7.03,
2000,26620000.0,,,,89440000.0,3880000.0,,,,,,,
1999,,,,,26260000.0,4130000.0,,,,,,,
1998,,,,,,2430000.0,,,,,,,
