formation_year,buy_date,sell_date,selected_count,portfolio_return,benchmark_return,excess_return
2015,2015-04-01,2016-04-01,5,0.2539,0.0274,0.2265
2016,2016-04-01,2017-04-03,5,0.2129,0.1608,0.0521
2017,2017-04-03,2018-04-02,5,0.4718,0.115,0.3569
2018,2018-04-02,2019-04-01,5,0.15,0.1317,0.0183
2019,2019-04-01,2020-04-01,5,0.0905,-0.1212,0.2118
2020,2020-04-01,2021-04-01,5,0.6124,0.6536,-0.0412
2021,2021-04-01,2022-04-01,5,0.0545,0.1455,-0.091
2022,2022-04-01,2023-04-03,5,-0.0894,-0.0773,-0.0121
2023,2023-04-03,2024-04-01,5,0.7495,0.289,0.4605
2024,2024-04-01,2025-04-01,5,-0.049,0.088,-0.137
2025,2025-04-01,2026-04-01,5,0.4345,0.1814,0.2531
