formation_year,buy_date,sell_date,selected_count,portfolio_return,benchmark_return,excess_return
2015,2015-04-01,2016-04-01,20,0.2575,0.0274,0.2301
2016,2016-04-01,2017-04-03,20,0.3049,0.1608,0.1441
2017,2017-04-03,2018-04-02,20,0.3082,0.115,0.1933
2018,2018-04-02,2019-04-01,20,0.2096,0.1317,0.0779
2019,2019-04-01,2020-04-01,20,-0.0063,-0.1212,0.115
2020,2020-04-01,2021-04-01,20,0.7642,0.6536,0.1106
2021,2021-04-01,2022-04-01,20,0.1587,0.1455,0.0133
2022,2022-04-01,2023-04-03,20,-0.0483,-0.0773,0.029
2023,2023-04-03,2024-04-01,20,0.4116,0.289,0.1226
2024,2024-04-01,2025-04-01,20,0.0428,0.088,-0.0452
2025,2025-04-01,2026-04-01,20,0.2226,0.1814,0.0412
