formation_year,universe_n,universe_val_median,universe_expensive_share,universe_cheap_share,universe_quality_median,universe_coverage_median
2015,83,65.5,0.4819,0.3735,66.3,0.8889
2016,92,47.2,0.6739,0.2391,64.9,0.8889
2017,93,32.7,0.7957,0.1935,65.3,0.8889
2018,99,60.6,0.5051,0.3535,63.8,1.0
2019,104,40.0,0.7981,0.125,70.9,1.0
2020,109,31.6,0.8257,0.1193,68.3,1.0
2021,109,37.5,0.8073,0.1009,63.5,1.0
2022,110,51.15,0.6545,0.2364,70.3,1.0
2023,111,50.7,0.6216,0.1622,71.8,1.0
2024,112,46.95,0.6964,0.1875,69.0,1.0
2025,110,46.7,0.6818,0.1636,66.5,1.0
2026,112,46.85,0.6786,0.1696,64.65,1.0
