formation_year,universe_n,selected_n,universe_val_median,selected_val_median,val_median_spread,selected_val_median_pct_in_universe,universe_expensive_share,selected_expensive_share,expensive_share_spread,universe_cheap_share,selected_cheap_share,cheap_share_spread,universe_quality_median,selected_quality_median,quality_median_spread,universe_coverage_median,selected_coverage_median,coverage_median_spread
2015,83,10,65.5,76.95,11.45,0.759,0.4819,0.0,-0.4819,0.3735,0.8,0.4265,66.3,83.55,17.25,0.8889,0.7778,-0.1111
2016,92,10,47.2,78.4,31.2,0.8804,0.6739,0.0,-0.6739,0.2391,0.8,0.5609,64.9,83.9,19.0,0.8889,0.8889,0.0
2017,93,10,32.7,79.7,47.0,0.8817,0.7957,0.0,-0.7957,0.1935,0.9,0.7065,65.3,80.1,14.8,0.8889,0.8889,0.0
2018,99,10,60.6,77.5,16.9,0.7374,0.5051,0.0,-0.5051,0.3535,0.9,0.5465,63.8,93.65,29.85,1.0,0.8889,-0.1111
2019,104,10,40.0,78.55,38.55,0.9231,0.7981,0.1,-0.6981,0.125,0.7,0.575,70.9,90.05,19.15,1.0,0.8889,-0.1111
2020,109,8,31.6,77.25,45.65,0.945,0.8257,0.0,-0.8257,0.1193,0.875,0.7557,68.3,85.5,17.2,1.0,1.0,0.0
2021,109,4,37.5,77.35,39.85,0.9633,0.8073,0.0,-0.8073,0.1009,1.0,0.8991,63.5,88.75,25.25,1.0,1.0,0.0
2022,110,10,51.15,74.4,23.25,0.8455,0.6545,0.1,-0.5545,0.2364,0.7,0.4636,70.3,93.4,23.1,1.0,1.0,0.0
2023,111,10,50.7,70.2,19.5,0.8739,0.6216,0.2,-0.4216,0.1622,0.5,0.3378,71.8,87.5,15.7,1.0,1.0,0.0
2024,112,8,46.95,75.7,28.75,0.9107,0.6964,0.0,-0.6964,0.1875,0.875,0.6875,69.0,81.2,12.2,1.0,1.0,0.0
2025,110,10,46.7,70.8,24.1,0.8455,0.6818,0.0,-0.6818,0.1636,0.5,0.3364,66.5,87.2,20.7,1.0,1.0,0.0
