Ticker,Metric,TTM,FY 2026,FY 2025,FY 2024,FY 2023,FY 2022
MSFT,Revenue,"331,839","331,839","281,724","245,122","211,915","198,270"
MSFT,Revenue Growth,17.79%,17.79%,14.93%,15.67%,6.88%,17.96%
MSFT,Gross Profit,"225,465","225,465","193,893","171,008","146,052","135,620"
MSFT,Operating Income,"155,237","155,237","128,528","109,433","88,523","83,383"
MSFT,Net Income,"133,749","133,749","101,832","88,136","72,361","72,738"
MSFT,Earnings Per Share,17.95,17.95,13.64,11.80,9.68,9.65
MSFT,EPS Growth,31.60%,31.60%,15.59%,21.90%,0.31%,19.88%
