Ticker,Metric,TTM,FY 2025,FY 2024,FY 2023,FY 2022,FY 2021
COST,Revenue,"293,587","275,235","254,453","242,290","226,954","195,929"
COST,Revenue Growth,9.23%,8.17%,5.02%,6.76%,15.83%,17.49%
COST,Gross Profit,"37,802","35,349","32,095","29,704","27,572","25,245"
COST,Operating Income,"11,225","10,383","9,285","8,114","7,793","6,708"
COST,Net Income,"8,838","8,099","7,367","6,292","5,844","5,007"
COST,Earnings Per Share,19.88,18.21,16.56,14.16,13.14,11.27
COST,EPS Growth,12.76%,9.96%,16.95%,7.76%,16.59%,24.95%
