Ticker,Metric,TTM,FY 2025,FY 2024,FY 2023,FY 2022,FY 2021
JNJ,Revenue,"97,929","94,193","88,821","85,159","79,990","78,740"
JNJ,Revenue Growth,8.06%,6.05%,4.30%,6.46%,1.59%,-4.66%
JNJ,Gross Profit,"66,501","63,937","61,350","58,606","55,394","55,338"
JNJ,Operating Income,"26,139","25,515","21,038","21,696","20,230","20,043"
JNJ,Net Income,"21,037","26,804","14,066","35,153","17,941","20,878"
JNJ,Earnings Per Share,8.63,11.03,5.84,13.72,6.73,7.81
JNJ,EPS Growth,-8.34%,88.77%,-57.41%,103.86%,-13.83%,41.74%
