Ticker,Metric,TTM,FY 2025,FY 2024,FY 2023,FY 2022,FY 2021
GOOGL,Revenue,"445,867","402,836","350,018","307,394","282,836","257,637"
GOOGL,Revenue Growth,20.05%,15.09%,13.87%,8.68%,9.78%,41.15%
GOOGL,Gross Profit,"271,517","240,301","203,712","174,062","156,633","146,698"
GOOGL,Operating Income,"147,628","129,039","112,390","84,293","74,842","78,714"
GOOGL,Net Income,"244,205","132,170","100,118","73,795","59,972","76,033"
GOOGL,Earnings Per Share,19.91,10.82,8.05,5.80,4.56,5.61
GOOGL,EPS Growth,112.03%,34.41%,38.79%,27.19%,-18.72%,91.47%
