Ticker,Metric,TTM,FY 2025,FY 2024,FY 2023,FY 2022,FY 2021
RHHBY,Revenue,"62,959","63,356","62,395","60,441","65,814","65,850"
RHHBY,Revenue Growth,-0.63%,1.54%,3.23%,-8.16%,-0.06%,9.13%
RHHBY,Gross Profit,"46,339","46,711","46,112","44,084","46,077","46,203"
RHHBY,Operating Income,"17,817","18,476","13,417","15,395","17,476","18,155"
RHHBY,Net Income,"12,341","12,880","8,277","11,498","12,421","13,930"
RHHBY,Earnings Per Share,15.33,16.04,10.31,14.31,15.37,16.20
RHHBY,EPS Growth,-4.43%,55.58%,-27.95%,-6.90%,-5.12%,-1.94%
