Ticker,Metric,TTM,FY 2025,FY 2024,FY 2023,FY 2022,FY 2021
ASML,Revenue,"35,328","32,667","28,263","27,559","21,173","18,611"
ASML,Revenue Growth,9.84%,15.58%,2.56%,30.16%,13.77%,33.14%
ASML,Gross Profit,"18,629","16,931","14,284","13,774","10,513","9,809"
ASML,Operating Income,"12,513","12,054","9,937","9,512","7,321","6,750"
ASML,Net Income,"10,638","10,213","8,349","8,115","6,396","5,883"
ASML,Earnings Per Share,27.55,26.26,21.21,20.59,16.07,14.34
ASML,EPS Growth,14.50%,23.81%,3.01%,28.13%,12.06%,69.10%
