Ticker,Metric,TTM,FY 2025,FY 2024,FY 2023,FY 2022,FY 2021
MA,Revenue,"35,083","32,791","28,167","25,098","22,237","18,884"
MA,Revenue Growth,16.01%,16.42%,12.23%,12.87%,17.76%,23.42%
MA,Gross Profit,"35,083","32,791","28,167","25,098","22,237","18,884"
MA,Operating Income,"20,465","18,897","15,582","14,008","12,264","10,082"
MA,Net Income,"16,257","14,968","12,874","11,195","9,930","8,687"
MA,Earnings Per Share,18.18,16.52,13.89,11.83,10.22,8.76
MA,EPS Growth,22.59%,18.93%,17.41%,15.75%,16.67%,37.52%
