Ticker,Metric,TTM,FY 2025,FY 2024,FY 2023,FY 2022,FY 2021
NVO,Revenue,"329,431","309,064","290,403","232,261","176,954","140,800"
NVO,Revenue Growth,5.61%,6.43%,25.03%,31.25%,25.68%,10.91%
NVO,Gross Profit,"265,681","250,276","245,881","196,496","148,506","117,142"
NVO,Operating Income,"142,097","127,658","128,339","102,574","74,809","58,644"
NVO,Net Income,"116,443","102,434","100,988","83,683","55,525","47,757"
NVO,Earnings Per Share,26.20,23.03,22.63,18.62,12.22,10.37
NVO,EPS Growth,5.01%,1.77%,21.54%,52.37%,17.84%,15.16%
