formation_year,period_start,period_end,selected_count,contribution_events,total_contributions,portfolio_return,benchmark_return,excess_return,portfolio_end_value,benchmark_end_value,portfolio_mwrr,benchmark_mwrr
2015,2015-04-01,2016-04-01,10,6,6.0,0.1664,0.0274,0.139,6.6195,6.1849,0.1809,0.0531
2016,2016-04-01,2017-04-01,10,6,6.0,0.301,0.1608,0.1402,15.856,13.8068,3.5438,2.7212
2017,2017-04-01,2018-04-01,10,6,6.0,0.491,0.115,0.376,30.9398,21.5733,10.3264,5.9869
2018,2018-04-01,2019-04-01,10,6,6.0,0.1489,0.1317,0.0172,42.1663,30.7305,15.8992,10.2259
2019,2019-04-01,2020-04-01,10,6,6.0,0.1043,-0.1212,0.2255,52.7893,32.0573,21.1975,10.7612
2020,2020-04-01,2021-04-01,10,6,6.0,0.5902,0.6536,-0.0634,91.2424,60.597,42.8236,25.6266
2021,2021-04-01,2022-04-01,10,6,6.0,0.1681,0.1455,0.0227,112.6803,75.7601,55.3695,34.007
2022,2022-04-01,2023-04-01,10,6,6.0,-0.0075,-0.0773,0.0698,118.5614,76.0123,58.8687,34.1487
2023,2023-04-01,2024-04-01,10,6,6.0,0.4894,0.289,0.2004,184.3549,105.1291,97.8293,50.249
2024,2024-04-01,2025-04-01,10,6,6.0,0.0625,0.088,-0.0255,202.0391,120.4569,110.4497,60.0013
2025,2025-04-01,2026-04-01,10,6,6.0,0.2268,0.1814,0.0454,253.9724,148.5742,143.8307,77.0433
