formation_year,metric,availability_pct,configured_weight,effective_weight
2015,roic,0.6,0.25,0.19108280254777069
2015,roe,1.0,0.05,0.06369426751592357
2015,operating_margin,1.0,0.05,0.06369426751592357
2015,revenue_cagr,1.0,0.1,0.12738853503184713
2015,eps_cagr,0.9,0.15,0.17197452229299365
2015,fcf_margin,0.5,0.1,0.06369426751592357
2015,fcf_conversion,0.5,0.1,0.06369426751592357
2015,net_debt_ebitda,1.0,0.1,0.12738853503184713
2015,leverage,1.0,0.1,0.12738853503184713
2016,roic,0.5,0.25,0.16025641025641024
2016,roe,1.0,0.05,0.06410256410256411
2016,operating_margin,1.0,0.05,0.06410256410256411
2016,revenue_cagr,1.0,0.1,0.12820512820512822
2016,eps_cagr,0.9,0.15,0.17307692307692307
2016,fcf_margin,0.7,0.1,0.08974358974358973
2016,fcf_conversion,0.7,0.1,0.08974358974358973
2016,net_debt_ebitda,0.9,0.1,0.11538461538461539
2016,leverage,0.9,0.1,0.11538461538461539
2017,roic,0.7,0.25,0.20958083832335325
2017,roe,1.0,0.05,0.059880239520958084
2017,operating_margin,1.0,0.05,0.059880239520958084
2017,revenue_cagr,1.0,0.1,0.11976047904191617
2017,eps_cagr,0.8,0.15,0.1437125748502994
2017,fcf_margin,0.8,0.1,0.09580838323353294
2017,fcf_conversion,0.8,0.1,0.09580838323353294
2017,net_debt_ebitda,0.9,0.1,0.10778443113772455
2017,leverage,0.9,0.1,0.10778443113772455
2018,roic,0.7,0.25,0.20710059171597633
2018,roe,1.0,0.05,0.0591715976331361
2018,operating_margin,1.0,0.05,0.0591715976331361
2018,revenue_cagr,1.0,0.1,0.1183431952662722
2018,eps_cagr,1.0,0.15,0.17751479289940827
2018,fcf_margin,0.6,0.1,0.07100591715976332
2018,fcf_conversion,0.6,0.1,0.07100591715976332
2018,net_debt_ebitda,1.0,0.1,0.1183431952662722
2018,leverage,1.0,0.1,0.1183431952662722
2019,roic,0.6,0.25,0.18292682926829265
2019,roe,1.0,0.05,0.06097560975609756
2019,operating_margin,1.0,0.05,0.06097560975609756
2019,revenue_cagr,1.0,0.1,0.12195121951219512
2019,eps_cagr,1.0,0.15,0.18292682926829265
2019,fcf_margin,0.6,0.1,0.07317073170731707
2019,fcf_conversion,0.6,0.1,0.07317073170731707
2019,net_debt_ebitda,1.0,0.1,0.12195121951219512
2019,leverage,1.0,0.1,0.12195121951219512
2020,roic,0.9,0.25,0.23076923076923075
2020,roe,1.0,0.05,0.05128205128205128
2020,operating_margin,1.0,0.05,0.05128205128205128
2020,revenue_cagr,1.0,0.1,0.10256410256410256
2020,eps_cagr,1.0,0.15,0.15384615384615383
2020,fcf_margin,1.0,0.1,0.10256410256410256
2020,fcf_conversion,1.0,0.1,0.10256410256410256
2020,net_debt_ebitda,1.0,0.1,0.10256410256410256
2020,leverage,1.0,0.1,0.10256410256410256
2021,roic,0.9,0.25,0.2356020942408377
2021,roe,1.0,0.05,0.05235602094240838
2021,operating_margin,1.0,0.05,0.05235602094240838
2021,revenue_cagr,1.0,0.1,0.10471204188481675
2021,eps_cagr,1.0,0.15,0.1570680628272251
2021,fcf_margin,0.9,0.1,0.09424083769633508
2021,fcf_conversion,0.9,0.1,0.09424083769633508
2021,net_debt_ebitda,1.0,0.1,0.10471204188481675
2021,leverage,1.0,0.1,0.10471204188481675
2022,roic,0.8,0.25,0.21505376344086022
2022,roe,1.0,0.05,0.053763440860215055
2022,operating_margin,1.0,0.05,0.053763440860215055
2022,revenue_cagr,1.0,0.1,0.10752688172043011
2022,eps_cagr,1.0,0.15,0.16129032258064516
2022,fcf_margin,0.9,0.1,0.09677419354838711
2022,fcf_conversion,0.9,0.1,0.09677419354838711
2022,net_debt_ebitda,1.0,0.1,0.10752688172043011
2022,leverage,1.0,0.1,0.10752688172043011
2023,roic,0.9,0.25,0.234375
2023,roe,1.0,0.05,0.05208333333333333
2023,operating_margin,1.0,0.05,0.05208333333333333
2023,revenue_cagr,1.0,0.1,0.10416666666666666
2023,eps_cagr,0.9,0.15,0.140625
2023,fcf_margin,1.0,0.1,0.10416666666666666
2023,fcf_conversion,1.0,0.1,0.10416666666666666
2023,net_debt_ebitda,1.0,0.1,0.10416666666666666
2023,leverage,1.0,0.1,0.10416666666666666
2024,roic,0.9,0.25,0.23076923076923075
2024,roe,1.0,0.05,0.05128205128205128
2024,operating_margin,1.0,0.05,0.05128205128205128
2024,revenue_cagr,1.0,0.1,0.10256410256410256
2024,eps_cagr,1.0,0.15,0.15384615384615383
2024,fcf_margin,1.0,0.1,0.10256410256410256
2024,fcf_conversion,1.0,0.1,0.10256410256410256
2024,net_debt_ebitda,1.0,0.1,0.10256410256410256
2024,leverage,1.0,0.1,0.10256410256410256
2025,roic,1.0,0.25,0.25
2025,roe,1.0,0.05,0.05
2025,operating_margin,1.0,0.05,0.05
2025,revenue_cagr,1.0,0.1,0.1
2025,eps_cagr,1.0,0.15,0.15
2025,fcf_margin,1.0,0.1,0.1
2025,fcf_conversion,1.0,0.1,0.1
2025,net_debt_ebitda,1.0,0.1,0.1
2025,leverage,1.0,0.1,0.1
