Variant,CAGR,Sharpe,Max Drawdown,Win Rate,Turnover
Full Quality,0.23092772758008762,1.0526656481775694,-0.04146460221070458,0.9090909090909091,0.2066666666666667
Without roic,0.22301427936055696,1.0010744022852776,-0.05255013540901632,0.7272727272727273,0.2066666666666667
Without roe,0.2387336538945004,1.0499529476667935,-0.04146460221070469,0.9090909090909091,0.23333333333333334
Without operating_margin,0.23350768311256442,1.0704227413170027,-0.04146460221070469,0.9090909090909091,0.21333333333333332
Without revenue_cagr,0.23228023659018326,1.0776333099070465,-0.04859276644009336,0.8181818181818182,0.2066666666666667
Without eps_cagr,0.24868489006905814,1.0173095662966332,-0.049759561270653174,0.9090909090909091,0.17333333333333334
Without fcf_margin,0.2387397299466969,1.0638133960137306,-0.041464602210704804,0.9090909090909091,0.23333333333333334
Without fcf_conversion,0.2319436521270828,1.0528716684949497,-0.04146460221070469,0.9090909090909091,0.22000000000000003
Without net_debt_ebitda,0.22664178966298998,1.0018508245055797,-0.04146460221070469,0.8181818181818182,0.23333333333333334
Without leverage,0.23513324560359838,1.0693682778391729,-0.04146460221070469,0.9090909090909091,0.22666666666666666
