metric,average_contribution,rank
roic,19.676804812834227,1
eps_cagr,14.611105371900827,2
net_debt_ebitda,10.635984848484851,3
revenue_cagr,8.9414519526819,4
fcf_margin,8.33343056230757,5
leverage,7.854359099011506,6
fcf_conversion,7.275895316804409,7
roe,5.307986955112624,8
operating_margin,5.082702357802626,9
